0:0:0:0:0:0:0:1 - - [19/Nov/2020:21:09:17 -0300] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [19/Nov/2020:21:09:17 -0300] "GET /MakeAndCia/Controller?service=ListarProduto&identCad=&preCarQuantidade= HTTP/1.1" 200 49
0:0:0:0:0:0:0:1 - - [19/Nov/2020:21:09:17 -0300] "GET /MakeAndCia/Controller?service=DadosSessao HTTP/1.1" 200 49
0:0:0:0:0:0:0:1 - - [19/Nov/2020:21:09:17 -0300] "GET /MakeAndCia/login.html HTTP/1.1" 200 3680
0:0:0:0:0:0:0:1 - - [19/Nov/2020:21:09:17 -0300] "GET /MakeAndCia/js/Login.js HTTP/1.1" 200 1019
0:0:0:0:0:0:0:1 - - [19/Nov/2020:21:09:25 -0300] "GET /MakeAndCia/Controller?service=IniciarSessao&login=tbarbosa&senha=123 HTTP/1.1" 200 51
0:0:0:0:0:0:0:1 - - [19/Nov/2020:21:09:25 -0300] "GET /MakeAndCia/Controller?service=DadosSessao HTTP/1.1" 200 90
0:0:0:0:0:0:0:1 - - [19/Nov/2020:21:09:25 -0300] "GET /MakeAndCia/Controller?service=ListarProduto&identCad=&preCarQuantidade= HTTP/1.1" 200 409
0:0:0:0:0:0:0:1 - - [19/Nov/2020:21:09:25 -0300] "GET /MakeAndCia/images/sort_both.png HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [19/Nov/2020:21:09:25 -0300] "GET /MakeAndCia/images/sort_asc.png HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [19/Nov/2020:21:09:27 -0300] "GET /MakeAndCia/Controller?service=ListarContaReceber&identCad=&descricaoContasReceber=&valorContasReceber=&dataContasReceber=&statusContasReceber=A&parcelaContasReceber=1 HTTP/1.1" 500 2252
0:0:0:0:0:0:0:1 - - [19/Nov/2020:21:09:31 -0300] "GET /MakeAndCia/Controller?service=ListarContaPagar&identCad=&descricaoContasPagar=&valorContasPagar=&dataContasPagar=&statusContasPagar=A&parcelaContasPagar=1 HTTP/1.1" 200 241
0:0:0:0:0:0:0:1 - - [19/Nov/2020:21:09:32 -0300] "GET /MakeAndCia/Controller?service=ListarContaReceber&identCad=&descricaoContasReceber=&valorContasReceber=&dataContasReceber=&statusContasReceber=A&parcelaContasReceber=1 HTTP/1.1" 500 2252
0:0:0:0:0:0:0:1 - - [19/Nov/2020:21:09:38 -0300] "GET /MakeAndCia/Controller?service=InserirContaReceber&identCad=0&descricaoContasReceber=teste&valorContasReceber=.&dataContasReceber=2020-11-10&statusContasReceber=A&parcelaContasReceber=1 HTTP/1.1" 500 2254
0:0:0:0:0:0:0:1 - - [19/Nov/2020:21:09:39 -0300] "GET /MakeAndCia/Controller?service=InserirContaReceber&identCad=0&descricaoContasReceber=teste&valorContasReceber=.&dataContasReceber=2020-11-10&statusContasReceber=A&parcelaContasReceber=1 HTTP/1.1" 500 2254
